model,vehicle_count,avg_mileage,avg_grade,with_report
3-Series,115,105554,3.15,74
X3,92,102876,3.66,66
X5,88,102753,3.82,59
5-Series,67,110595,3.2,47
X1,44,103475,3.36,30
4-Series,32,83346,3.26,20
7-Series,25,94062,3.35,13
2-Series,16,53607,4.07,13
X6,11,101336,3.47,8
X7,10,79080,4.1,7
X4,8,85626,3.59,8
3-Series Grn Turismo,7,121971,3.0,3
6-Series,7,86153,3.05,4
8-Series,6,55700,3.95,6
X2,6,95536,2.88,4
6-Series Grn Turismo,3,82988,4.5,2
M4,3,90384,2.7,2
M5,3,56864,4.1,3
Z4,3,98320,3.87,3
i3,2,88564,0,0
7 SERIES 750LI,1,128557,0,0
7 SERIES ALPINA B7 X,1,65586,4.5,1
Gran Turismo,1,86918,0,0
i4,1,9760,3.8,1
iX,1,35685,4.4,1
M3,1,64131,4.5,1
XM,1,1852,4.6,1
