picture_count,stock_number,model_year,make,model,style,exterior_color,mileage,has_condition_report,grade,lights_raw,announcements,vin,batch_id,source_file,ingested_at,primary_light,mileage_bucket,grade_tier,drivetrain_type,wmi_prefix,snapshot_date,vehicle_age,is_as_is,is_inop,has_structural_damage,is_salvage,is_repo,is_green_light
16,230450,2026,BMW,2-Series,228,GRAY,4371,1,4.7,Green,GREEN LIGHT,WBA83GG04T7T08094,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.344002+00:00,GREEN,LOW,EXCELLENT,UNKNOWN,WBA,2026-06-10,0,0,0,0,0,0,1
14,1003003,2025,BMW,2-Series,228 xDrive,WHITE,7110,1,4.8,Red,,WBA23GG05S7S45401,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.344002+00:00,RED,LOW,EXCELLENT,AWD,WBA,2026-06-10,1,0,0,0,0,0,0
13,1003110,2024,BMW,2-Series,M235i xDrive,WHITE,8243,1,5.0,Red,,WBA13AL04R7R79424,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.344002+00:00,RED,LOW,EXCELLENT,AWD,WBA,2026-06-10,2,0,0,0,0,0,0
28,333378,2024,BMW,2-Series,M240i,GRAY,18187,1,4.5,Green,GREEN LIGHT,3MW43CM06R8E25730,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.344002+00:00,GREEN,LOW,EXCELLENT,UNKNOWN,3MW,2026-06-10,2,0,0,0,0,0,1
35,1331595,2024,BMW,2-Series,228i xDrive,GRAY,30958,1,3.6,Green,NAAA SILVER CERTIFIED,WBA73AK05R7R12262,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.344002+00:00,GREEN,MEDIUM,GOOD,AWD,WBA,2026-06-10,2,0,0,0,0,0,0
36,79104,2022,BMW,2-Series,228i,WHITE,67730,1,4.0,Green,,WBA53AK0XN7K04669,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.344002+00:00,GREEN,MEDIUM,GOOD,UNKNOWN,WBA,2026-06-10,4,0,0,0,0,0,0
15,254406,2021,BMW,2-Series,228i,GRAY,41866,0,,Red,,WBA53AK02M7J27200,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.344002+00:00,RED,MEDIUM,,UNKNOWN,WBA,2026-06-10,5,0,0,0,0,0,0
27,146589,2021,BMW,2-Series,228i xDrive,BLUE,52859,1,,,GREEN LIGHT,WBA73AK07M7J11812,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.344002+00:00,UNKNOWN,MEDIUM,,AWD,WBA,2026-06-10,5,0,0,0,0,0,1
16,825509,2021,BMW,2-Series,228i,BLACK,60259,0,,Red,,WBA53AK06M7H78686,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.344002+00:00,RED,MEDIUM,,UNKNOWN,WBA,2026-06-10,5,0,0,0,0,0,0
16,10255527,2020,BMW,2-Series,228i xDrive,BLUE,68468,1,4.0,,,WBA73AK08L7F85320,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,MEDIUM,GOOD,AWD,WBA,2026-06-10,6,0,0,0,0,0,0
26,267852,2019,BMW,2-Series,,BLACK,77477,1,4.0,Red,,WBA2N1C58K7D29028,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,RED,MEDIUM,GOOD,UNKNOWN,WBA,2026-06-10,7,0,0,0,0,0,0
18,231098,2017,BMW,2-Series,230i,GRAY,53792,1,4.2,Green,,WBA2K9C36HV647348,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,MEDIUM,GOOD,UNKNOWN,WBA,2026-06-10,9,0,0,0,0,0,0
11,1773356,2016,BMW,2-Series,M235i,WHITE,70057,0,,Red,(A)Structural Damage,WBA1J7C55GV360022,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,RED,MEDIUM,,UNKNOWN,WBA,2026-06-10,10,0,0,1,0,0,0
33,668623,2016,BMW,2-Series,M235i,BLACK,80881,1,3.8,,,WBA1M1C53GV394397,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,MEDIUM,GOOD,UNKNOWN,WBA,2026-06-10,10,0,0,0,0,0,0
23,993605,2016,BMW,2-Series,228i,WHITE,106420,1,4.0,Green,,WBA1K9C52GV321879,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,HIGH,GOOD,UNKNOWN,WBA,2026-06-10,10,0,0,0,0,0,0
41,821619,2015,BMW,2-Series,228i xDrive,WHITE,109039,1,2.2,Red,,WBA1F7C56FVX95504,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,RED,HIGH,POOR,AWD,WBA,2026-06-10,11,0,0,0,0,0,0
16,566176,2025,BMW,3-Series,330i,GRAY,8827,1,4.3,,,3MW69CW00S8F65217,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,LOW,GOOD,UNKNOWN,3MW,2026-06-10,1,0,0,0,0,0,0
13,316680,2025,BMW,3-Series,330i,BLACK,26148,1,4.9,Green,,3MW69CW0XS8F09415,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,LOW,EXCELLENT,UNKNOWN,3MW,2026-06-10,1,0,0,0,0,0,0
17,730419,2024,BMW,3-Series,330i,WHITE,5058,1,4.8,Red,,3MW69FF07R8E59732,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,RED,LOW,EXCELLENT,UNKNOWN,3MW,2026-06-10,2,0,0,0,0,0,0
7,5264578,2023,BMW,3-Series,330i,WHITE,39425,0,,Green,,3MW69FF08P8D07536,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,MEDIUM,,UNKNOWN,3MW,2026-06-10,3,0,0,0,0,0,0
28,148418,2023,BMW,3-Series,330i xDrive,WHITE,42818,1,2.4,,,3MW89FF00P8D45996,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,MEDIUM,POOR,AWD,3MW,2026-06-10,3,0,0,0,0,0,0
27,993685,2023,BMW,3-Series,330i,GRAY,47919,1,4.3,Green,,3MW69FF04P8D32045,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,MEDIUM,GOOD,UNKNOWN,3MW,2026-06-10,3,0,0,0,0,0,0
18,277701,2022,BMW,3-Series,330i xDrive,BLACK,1,0,,,,3MW5R7J03N8C27115,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,ANOMALY,,AWD,3MW,2026-06-10,4,0,0,0,0,0,0
27,333274,2022,BMW,3-Series,330i xDrive,BLACK,58970,1,4.5,Green,"LOW MILES,ROOF,ALLOYS",3MW5R7J05N8C63100,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,MEDIUM,EXCELLENT,AWD,3MW,2026-06-10,4,0,0,0,0,0,0
0,566325,2022,BMW,3-Series,330i,BLACK,61758,0,,,,3MW5R1J06N8C31186,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,MEDIUM,,UNKNOWN,3MW,2026-06-10,4,0,0,0,0,0,0
12,1487390,2021,BMW,3-Series,330i xDrive,ORANGE,35088,0,,,AS IS,3MW5R7J00M8C08830,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,MEDIUM,,AWD,3MW,2026-06-10,5,1,0,0,0,0,0
28,1179434,2021,BMW,3-Series,330i xDrive,RED,76676,1,4.3,Green,(A)AIR BAGS DEPLOYED; GREEN LIGHT,3MW5R7J0XM8B84956,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,MEDIUM,GOOD,AWD,3MW,2026-06-10,5,0,0,0,0,0,1
22,427667,2020,BMW,3-Series,330i xDrive,GRAY,76543,1,2.4,Red,RED LIGHT,3MW5R7J04L8B37761,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,RED,MEDIUM,POOR,AWD,3MW,2026-06-10,6,0,0,0,0,0,0
1,112963952,2020,BMW,3-Series,M340xi 4D Sedan,BLUE,80190,0,,,,WBA5U9C09LA380347,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,MEDIUM,,AWD,WBA,2026-06-10,6,0,0,0,0,0,0
23,369828,2020,BMW,3-Series,330i,GRAY,82475,1,3.0,Red,AS IS,3MW5R1J00L8B09128,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,RED,MEDIUM,FAIR,UNKNOWN,3MW,2026-06-10,6,1,0,0,0,0,0
19,1290557,2020,BMW,3-Series,330i,BLUE,91327,0,,Green,,3MW5R1J02L8B19837,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,MEDIUM,,UNKNOWN,3MW,2026-06-10,6,0,0,0,0,0,0
22,563308,2020,BMW,3-Series,330i xDrive,BLACK,94387,1,4.0,Red,INOP; AS-IS,3MW5R7J0XL8B21337,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,RED,MEDIUM,GOOD,AWD,3MW,2026-06-10,6,1,1,0,0,0,0
54,208191,2020,BMW,3-Series,330i,RED,110109,1,3.6,,,WBA5R1C09LFH85603,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,HIGH,GOOD,UNKNOWN,WBA,2026-06-10,6,0,0,0,0,0,0
40,333130,2020,BMW,3-Series,330i,BLACK,118748,1,2.4,,,3MW5R1J05L8B21422,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,HIGH,POOR,UNKNOWN,3MW,2026-06-10,6,0,0,0,0,0,0
21,267705,2019,BMW,3-Series,,GRAY,51216,0,,Red,,3MW5R1J52K8A04214,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,RED,MEDIUM,,UNKNOWN,3MW,2026-06-10,7,0,0,0,0,0,0
19,19814,2019,BMW,3-Series,330i,BLACK,68853,1,,,,3MW5R1J53K8B01891,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,UNKNOWN,MEDIUM,,UNKNOWN,3MW,2026-06-10,7,0,0,0,0,0,0
29,1526941,2019,BMW,3-Series,330i xDrive,WHITE,69713,1,4.4,Green,NAAA Silver Certified,WBA5R7C56KAJ81529,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,MEDIUM,GOOD,AWD,WBA,2026-06-10,7,0,0,0,0,0,0
27,388972,2019,BMW,3-Series,330i,GRAY,74932,1,1.6,Red,,WBA5R1C56KAJ99106,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,RED,MEDIUM,POOR,UNKNOWN,WBA,2026-06-10,7,0,0,0,0,0,0
23,254130,2019,BMW,3-Series,330i,ORANGE,84914,1,4.6,Green,,WBA5R1C57KAK07357,2e3296c3b796,edge_pipeline_vehicle_search_2026-06-09.csv,2026-06-10T16:54:50.345008+00:00,GREEN,MEDIUM,EXCELLENT,UNKNOWN,WBA,2026-06-10,7,0,0,0,0,0,0
